,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
0,1,Bitcoin,BTC,bitcoin,12290,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19910775.0,19910775.0,False,,1,,,,2025-08-24T09:47:00.000Z,114938.20711261705,51342924958.483116,-38.7674,0.17218484,-0.58408325,-2.9042099,-0.53308003,7.85090468,4.69580242,2288508780722.718,57.4652,2413702349364.96,,2025-08-24T09:47:00.000Z,,,,,,2025-08-24 15:18:17.387821
1,1027,Ethereum,ETH,ethereum,10467,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,120707167.23569468,120707167.23569468,True,,2,,,,2025-08-24T09:46:00.000Z,4781.807696396858,27255960277.42651,-65.9364,0.18189733,1.11130851,5.37480872,29.22094999,97.72087954,86.75762686,577198461297.9075,14.4962,577198461297.91,,2025-08-24T09:46:00.000Z,,,,,,2025-08-24 15:18:17.387821
2,52,XRP,XRP,xrp,1681,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59482264023.0,99985819185.0,False,,3,,,,2025-08-24T09:47:00.000Z,3.032612314703101,3528598372.272053,-66.9881,-0.07136484,-0.34949951,-2.88379127,-2.69016935,39.21539969,29.42842968,180386646382.57104,4.5296,303261231470.31,,2025-08-24T09:47:00.000Z,,,,,,2025-08-24 15:18:17.387821
3,825,Tether USDt,USDT,tether,142530,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'zedxion-smart-chain-ecosystem']",,167150540381.15668,169734252949.74066,True,,4,,,,2025-08-24T09:46:00.000Z,0.9996016072237267,91135476237.2206,-52.4948,0.00671638,0.00585567,-0.09669903,-0.05794093,-0.09366408,-0.07708364,167083948813.31863,4.1963,169666632049.48,,2025-08-24T09:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-08-24 15:18:17.387821
4,1839,BNB,BNB,bnb,2679,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139287368.04,139287368.04,False,,5,,,,2025-08-24T09:46:00.000Z,869.5795668833254,2281741147.986208,-38.3174,0.14959092,-2.86925001,0.96510269,13.04314732,35.2946058,29.23005487,121121449172.54153,3.0419,121121449172.54,,2025-08-24T09:46:00.000Z,,,,,,2025-08-24 15:18:17.387821
5,5426,Solana,SOL,solana,974,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,540438192.713994,608188449.0759488,True,,6,525236893.3,109457107419.83978,,2025-08-24T09:46:00.000Z,208.39569500180002,6829969725.275483,-49.6401,0.30287016,2.13586963,8.586551,15.85978598,43.40955483,17.70599687,112624992776.14952,2.8286,126743854537.25,,2025-08-24T09:46:00.000Z,,,,,,2025-08-24 15:18:17.387821
6,3408,USDC,USDC,usd-coin,30789,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem']",,67538626463.2894,67538626463.2894,False,,7,60901219650.23,60891362021.27538,,2025-08-24T09:46:00.000Z,0.9998381374131547,9609617153.048244,-60.8176,0.00604664,0.00139032,-0.01371876,-0.00943099,-0.017872,0.0058861,67527694486.49808,1.6959,67527694486.5,,2025-08-24T09:46:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-08-24 15:18:17.387821
7,74,Dogecoin,DOGE,dogecoin,1276,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,150649126383.70526,150649126383.70526,True,,8,,,,2025-08-24T09:46:00.000Z,0.23219448817478983,1645107026.2667403,-70.0128,-0.00577845,-2.49938191,-0.32335537,1.12709169,40.83136783,2.52842368,34979896794.64367,0.8785,34979896794.64,,2025-08-24T09:46:00.000Z,,,,,,2025-08-24 15:18:17.387821
8,1958,TRON,TRX,tron,1216,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94668937866.45955,94668940509.51117,True,,9,71659659264.0,26214780133.79362,,2025-08-24T09:47:00.000Z,0.36582339914869316,760149707.8883394,-54.6437,0.02432616,1.28494597,4.03350928,15.8450202,34.12121837,34.32797423,34632112644.10467,0.8696,34632113610.99,,2025-08-24T09:47:00.000Z,,,,,,2025-08-24 15:18:17.387821
9,2010,Cardano,ADA,cardano,1567,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35724891762.85982,44994674679.3984,False,,10,37997904336.0,34302211637.937164,,2025-08-24T09:46:00.000Z,0.9027395651775074,1033593326.7921755,-68.2869,-0.2083503,-1.7305313,-5.52504612,12.70166912,56.85797762,17.82934919,32250273256.01759,0.81,40623280432.99,,2025-08-24T09:46:00.000Z,,,,,,2025-08-24 15:18:17.387821
